STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WSF2
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161007,0,-9999,0,58,76,44,3.8,170,10.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161008,0,-9999,0,55,68,42,2,160,8.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161009,0.39,-9999,0,58,64,46,10.5,30,21.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161010,0,-9999,0,51,60,37,9.6,320,21
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161011,0,-9999,0,47,64,33,2,210,8.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161012,0,-9999,0,51,68,37,4.7,170,14.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161013,0,-9999,0,58,70,47,7.6,310,18.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161014,0,-9999,0,51,61,37,6.3,20,16.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161015,0,-9999,0,45,63,32,4,150,10.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161016,0,-9999,0,54,73,41,9.2,230,17
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161017,0,-9999,0,66,80,55,3.6,210,13
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161018,0,-9999,0,67,84,55,8.5,180,23
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161019,0,-9999,0,71,80,51,7.2,330,18.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161020,0,-9999,0,60,74,48,6.9,130,16.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161021,0.1,-9999,0,64,79,57,5.4,160,21
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161022,0.29,-9999,0,55,65,41,11.2,290,21.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161023,0.01,-9999,0,49,62,42,12.8,300,30
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161024,0.01,-9999,0,52,61,41,10.1,300,25.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161025,0,-9999,0,44,52,36,11.2,320,28
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161026,0,-9999,0,40,50,31,8.9,10,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161027,0.94,1.2,1.5,33,37,29,5.1,340,15
